id2,id,keyword,translation,username1,status1,cant_post1,wait_msg1,hidden_from_timeline1,missing_1hr_later1,missing_24hrs_later1,deleted_msg1,deleted_msg_time1,username2,status2,cant_post2,wait_msg2,hidden_from_timeline2,missing_1hr_later2
219,309,基本法+二十三,Basic Law+twenty-three,user5,,,,,,,,,user21,,,,,
220,310,江贼,Jiang Betray[-the-People],user5,,,,,,,,,user21,,,,,
221,311,贼民,[Jiang] Betray-the-People,user5,,,,,,,,,user21,,,,,
222,314,游xing,YOUxing [march],user5,,,,,,,,,user21,,,,,
223,315,皮帽子,leather hat,user5,,,,,,,,,user21,,,,,
224,316,呆婊,stupid prostitutes,user5,,,,1,,,,,user21,,,,1,
225,318,新疆+恐怖,Xinjiang+terror,user5,,,,,,,,,user21,,,,,
226,322,浙大教授+上书,Zhejiang U. professor+submit letter to superior,user5,,,,,,,,,user21,,,,,
227,324,习帝,Emperor Xi [Jinping],user5,,,,1,1,1,,,user21,,,,,
228,325,习大人,His Excellency Xi [Jinping],user5,,,,,,,,,user21,,,,,
229,326,政法委,Politics and Law Commission,user5,,,,,,,,,user21,,,,,
230,327,zhengbian,zhengbian (coup),user5,,,,,,,,,user21,,,,,
231,331,孙政才+孟山都,Sun Zhengcai+Monsanto,user5,,,,,1,1,,,user21,,,,,1
232,332,孙政才+转基因,Sun Zhengcai+genetic modification,user5,,,,,1,1,,,user21,,,,,1
233,333,亡党,lose the Party,user5,,,,,,,,,user21,,,,,1
234,338,栗战书,Li Zhanshu,user5,,,,,,,,,user21,,,,,
235,339,Li战书,Li Zhanshu,user5,,,,,,,,,user21,,,,,
236,340,栗zhanshu,Li Zhanshu,user5,,,,,,,,,user21,,,,,
237,341,习哥,Brother Xi,user5,,,,,,,,,user21,,,,,
238,342,刁哥,Brother Sly,user5,,1,,,,,,,user21,,1,,,
239,348,第一夫人+苹果,first lady+apple,user5,,,,,1,1,,,user21,,,,,
240,350,国母+手机,first lady+cell phone,user5,,,,,,,,,user21,,,,,
241,351,国母+苹果,first lady+apple,user5,,,,,,,,,user21,,,,,
242,352,国母+iphone,first lady+iPhone,user5,,,,,,,,,user21,,,,,
243,353,习夫人+手机,Mrs. Xi+cell phone,user5,,,,,,,,,user21,,,,,
244,354,习夫人+拍照,Mrs. Xi+take a photo,user5,,,,,,,,,user21,,,,,
245,355,习夫人+苹果,Mrs. Xi+apple,user5,,,,,,,,,user21,,,,,
246,356,习夫人+iphone,Mrs. Xi+iPhone,user5,,,,,,,,,user21,,,,,
247,357,peng+liyuan,peng+liyuan,user5,,1,,,,,,,user21,,1,,,
248,358,当前意识形态领域情况,current situation of the ideological sphere,user5,,,,,,,,,user21,,,,,
249,363,hk64,hk64,user5,,,,,,,,,user21,,,,,
250,371,网络封锁,Internet block,user5,,,,,,,,,user21,,,,,
251,372,蟹农场,Hexie Farm,user6,active,,,,,,,,user22,deleted,,,,.
252,374,习+影帝,Xi+movie star,user6,,,,,,,,,user22,deleted,,,,.
253,389,陆四,six four,user6,,,,1,,,,,user22,deleted,,,1,.
254,394,六four,six four,user6,,,,1,1,1,,,user22,deleted,,,,.
255,395,six四,six four,user6,,,,1,1,1,,,user22,deleted,,,,.
256,396,six+four,six+four,user6,,,,1,1,1,,,user22,deleted,,,,.
257,408,tiananmen,tiananmen,user6,,,,,,,,,user22,deleted,,,,.
258,413,反官倒,against bureaucratic profiteering,user6,,,,,,,,,user22,deleted,,,,.
259,419,戒严,martial law,user6,,,,,,,,,user22,deleted,,,,.
260,420,学运,student movement,user6,,,,1,1,1,,,user22,deleted,,,,.
261,421,学潮,student strike,user6,,,,1,1,1,,,user22,deleted,,,,.
262,426,丁子霖,Ding Zilin,user6,,,,,,,,,user22,deleted,,1,1,.
263,429,赵紫阳,Zhao Ziyang,user6,,,1,1,,,,,user22,deleted,,1,1,.
264,430,李鹏,Li Peng,user6,,,,,,,,,user22,deleted,,,,.
265,431,袁木,Yuan Mu,user6,,,,,,,,,user22,deleted,,,,.
266,432,严家其,Yan Jiaqi,user6,,,,,,,,,user22,deleted,,,,.
267,434,高官子女+回国,children of high officials+return home,user6,,,,,,,,,user22,deleted,,,,.
268,437,司徒华,Szeto Wah,user6,,,,,,,,,user22,deleted,,,,.
269,438,李建国+调查,Li Jianguo+investigation,user6,,,,,,,,,user22,deleted,,,,.
270,443,youxing,youxing (march),user6,,,,,,,,,user22,deleted,,,,.
271,444,鲍朴,Bao Pu,user6,,,,,,,,,user22,deleted,,,,.
272,446,吴昌龙,Wu Changlong,user6,,,,,,,,,user22,deleted,,,,.
273,449,陈科云,Chen Keyun,user6,,,,,,,,,user22,deleted,,,,.
274,454,维权律师,rights defense lawyers,user6,,,,,,,,,user22,deleted,,,,.
275,455,赤匪,red bandits,user6,,,,,1,1,,,user22,deleted,,,,.
276,456,红匪,red bandits,user6,,,,,1,1,,,user22,deleted,,,,.
277,457,gong匪,gong bandits,user6,,1,,,,,,,user22,deleted,1,,,.
278,458,gongfei,gongfei,user6,,,,,,,,,user22,deleted,,,,.
279,462,七不讲,seven say-nots,user6,,,,,,,,,user22,deleted,,,,.
280,464,六点声明,six-point statement,user6,,,,,,,,,user22,deleted,,,,.
281,465,邓卓棣+美国,Deng Zhuodi+U.S.,user6,,,,,1,1,,,user22,deleted,,,,.
282,466,邓卓棣+性骚扰,Deng Zhuodi+sexual harassment,user6,,,,1,1,1,,,user22,deleted,,,1,.
283,467,邓卓棣+红三代, Deng Zhuodi+red third generation,user6,,,,,1,1,,,user22,deleted,,,,.
284,484,财产公示+九君子,financial disclosure+nine gentlemen,user6,,,,1,1,1,,,user22,deleted,,,1,.
285,488,世维会,World Uyghur Congress,user6,,,,,,,,,user22,deleted,,,,.
286,490,成都PX项目,Chengdu PX project,user6,,,,,,,,,user22,deleted,,,,.
287,496,李克强+作秀,Li Keqiang+put on a show,user6,,,,,,,,,user22,deleted,,,,.
288,497,总理+影帝,prime minister+movie star,user6,,,,1,1,1,,,user22,deleted,,,1,.
289,498,三峡+四川地震,Three Gorges+Sichuan earthquake,user6,,,,1,1,1,,,user22,deleted,,,1,.
290,499,西金平,West Gold-peace (Xi Jinping),user6,,1,,,,,,,user22,deleted,1,,,.
291,500,西晋平,Western Jin Peace (Xi Jinping),user6,,1,,,,,,,user22,deleted,1,,,.
292,501,洗尽平,Fully-washed Peace,user6,,1,,,,,,,user22,deleted,1,,,.
293,502,洗净平,Whistle-clean Peace (Xi Jinping),user6,,1,,,,,,,user22,deleted,1,,,.
294,503,洗进瓶,Wash into Bottle (Xi Jinping),user6,,,,,,,,,user22,deleted,,,,.
295,504,锡金瓶,Sikkim Bottle (Xi Jinping),user6,,1,,,,,,,user22,deleted,1,,,.
296,514,习+总书记,Xi+secretary-general,user6,,,,,,,,,user22,deleted,,,,.
297,521,改革派,reformist,user6,,,,,1,1,,,user22,deleted,,,,.
