id,name,banned,results,datetested,trigger,results2,datetested2,translation
135,蛤蟆+病危,1,-1,2014-05-11 04:14:47 UTC,蛤蟆病危,0,2014-11-03 17:49:49 UTC,toad+critically ill
136,伊力哈木,1,-1,2014-05-11 04:16:24 UTC,伊力哈木,0,2014-11-03 17:50:08 UTC,Ilham
137,宋彬彬+文革,,265349,2014-05-11 04:16:48 UTC,,150561,2014-11-03 17:50:34 UTC,Song Binbin+Cultural Revolution
138,李东生+性贿赂,1,-1,2014-05-11 04:18:25 UTC,李东生性贿赂,0,2014-11-03 17:50:56 UTC,Li Dongsheng+sexual bribe
139,性爱视频,1,-1,2014-05-11 04:19:12 UTC,性爱,0,2014-11-03 17:51:17 UTC,sex tape
140,人渣+排行榜,1,-1,2014-05-11 04:20:50 UTC,人渣排行榜,0,2014-11-03 17:51:37 UTC,scumbag+ranked list (shitlist)
141,解放军301+炸弹,1,-1,2014-05-11 04:22:27 UTC,301炸弹,0,2014-11-03 17:51:58 UTC,PLA 301+bomb
142,毛+秦始皇,1,-1,2014-05-11 04:23:38 UTC,毛秦始皇,232048,2014-11-03 17:52:20 UTC,Mao+Qing Shi Huang
143,毛+杀人,,1018694,2014-05-11 04:24:02 UTC,,599882,2014-11-03 17:52:44 UTC,Mao+homicide
144,毛+魔鬼,,481,2014-05-11 04:24:27 UTC,,436287,2014-11-03 17:53:09 UTC,Mao+monster
145,花园网,1,-1,2014-05-11 04:25:40 UTC,花园网,0,2014-11-03 17:53:31 UTC,Garden Networks
146,习上,1,-1,2014-05-11 04:26:54 UTC,习上,0,2014-11-03 17:53:51 UTC,On Xi
147,陈光标+第一桶金,,209,2014-05-11 04:27:18 UTC,,7217,2014-11-03 17:54:15 UTC,Chen Guangbiao+first bucket of gold
148,陈光标+忽悠+欺骗,,51,2014-05-11 04:27:42 UTC,,274,2014-11-03 17:54:40 UTC,Chen Guangbiao+trick+cheat
149,小马奔腾+大亨案,,7,2014-05-11 04:28:06 UTC,,2450687,2014-11-03 17:55:04 UTC,Galloping Horse [Film]+tycoon case
150,小马奔腾+董事长,,826,2014-05-11 04:28:31 UTC,,53825,2014-11-03 17:55:28 UTC,Galloping Horse [Film]+chairman of the board
151,李明+小马奔腾,1,-1,2014-05-11 04:30:07 UTC,李明小马奔腾,56612,2014-11-03 17:55:51 UTC,Li Ming+Galloping Horse [Film]
152,李明+公安部,1,-1,2014-05-11 04:31:44 UTC,李明公安部,0,2014-11-03 17:56:12 UTC,Li Ming+Public Security Bureau
